"Events","num_dep_delays","num_arr_delays","max_dep_delay","avg_dep_delay","avg_weather_delay","max_arr_delay","avg_arr_delay","avg_sec_delay","avg_aircraft_delay","avg_carrier_delay"
"",49540,49540,1355,29.9674404521599,0.753986851526395,1357,33.8250302785628,0.0303000716005988,20.5591681312244,16.0610232376489
"Fog",1580,1580,295,30.9215189873418,2.38144329896907,299,36.1069620253165,0.00937207122774133,18.7328959700094,15.9297094657919
"Fog-Rain",848,848,268,20.1709905660377,1.84177215189873,257,26.1674528301887,0.168776371308017,13.2151898734177,13.4071729957806
"Fog-Rain-Snow",1919,1919,302,36.8963001563314,3.44894259818731,316,57.1943720687858,0.00906344410876133,21.3631419939577,10.9148036253776
"Fog-Rain-Thunderstorm",287,287,299,44.5923344947735,4.92424242424242,269,46.1045296167247,0,27.5909090909091,18.8989898989899
"Fog-Snow",4653,4653,447,33.5705996131528,2.24327921213734,440,48.180528691167,0.0308756986957679,22.2470055895661,12.513175405909
"Fog-Thunderstorm",568,568,552,46.3767605633803,2.66401590457256,544,59.4102112676056,0.10934393638171,29.9980119284294,12.2465208747515
"Rain",4318,4318,994,30.6843446039833,0.835152838427948,994,34.9194071329319,0.0691411935953421,20.4883551673945,15.302037845706
"Rain-Snow",323,323,252,22.3808049535604,1.42783505154639,258,31.6934984520124,0.0309278350515464,24.5515463917526,9.99484536082474
"Rain-Snow-Thunderstorm",171,171,279,18.5730994152047,0.386792452830189,277,26.4561403508772,0,12.4433962264151,8.5
"Rain-Thunderstorm",7978,7978,908,38.0706944096265,4.96522948539638,917,43.6254700426172,0.0146036161335188,24.6648122392211,13.7287899860918
"Snow",9327,9327,402,28.1795861477431,1.09965365239295,408,35.8923555269647,0.00771410579345088,20.7588161209068,12.650976070529
"Thunderstorm",2885,2885,536,27.8766031195841,1.25848142164782,546,33.6214904679376,0.0269251480883145,19.3844911147011,13.8799138395261
