"Events","num_dep_delays","num_arr_delays","max_dep_delay","avg_dep_delay","avg_weather_delay","max_arr_delay","avg_arr_delay","avg_sec_delay","avg_aircraft_delay","avg_carrier_delay"
"",92732,92732,1019,39.9929474183669,3.57562153672919,1034,46.2936850278221,0.0275876374196225,23.3991614069399,17.2249533291848
"Fog",1223,1223,318,43.4685200327065,1.03229061553986,306,51.2027800490597,0.00403632694248234,31.9808274470232,17.2159434914228
"Fog-Rain-Snow",2625,2625,846,69.0499047619048,15.345971563981,862,82.1912380952381,0,43.0137871607066,16.8375700129255
"Fog-Rain-Snow-Thunderstorm",508,508,307,67.0374015748032,6.84070796460177,319,77.0905511811024,0.0553097345132743,44.1814159292035,18.3893805309735
"Fog-Rain-Thunderstorm",1461,1461,311,50.135523613963,3.12796208530806,323,66.8699520876112,0,36.5797788309637,9.63428120063191
"Fog-Snow",3210,3210,516,67.1436137071651,11.4245989304813,495,75.4647975077882,0,42.2021390374332,17.1461675579323
"Rain",7734,7734,875,45.1121024049651,0.852905464006938,934,50.7576933023015,0.0445793581960104,33.5512575888985,17.8577623590633
"Rain-Snow",3199,3199,335,43.4626445764301,1.3748,351,47.9662394498281,0,32.3352,14.3248
"Rain-Snow-Thunderstorm",989,989,497,61.9959555106168,8.84866828087167,485,70.1607684529828,0,43.3716707021792,17.228813559322
"Rain-Thunderstorm",7569,7569,865,58.9102919804466,4.97745773324984,859,72.3367683974105,0.00250469630557295,44.0259862241703,15.0233249843456
"Snow",17134,17134,493,47.4395354266371,3.98045290255956,493,51.7723240340843,0.0176292690123184,29.8254776130412,17.7667625580881
