"Origin","COUNT(Origin)","MEDIAN(ArrDelay)","AVG(ArrDelay)"
"ABE",5486,-3,8.24371126503828
"ABI",2724,-2,11.0613069016153
"ABQ",40688,-2,5.17344180102241
"ABY",1283,1,11.7022603273578
"ACK",277,14,46.115523465704
"ACT",2229,-2,6.95423956931359
"ACV",3734,1,14.4922335297268
"ACY",698,1,17.8295128939828
"ADK",89,-11,-7.39325842696629
"ADQ",634,1,9.24290220820189
"AEX",2894,-1,10.4156876295784
"AGS",2216,0,15.1809566787004
"AKN",219,10,19.6301369863014
"ALB",14576,-1,10.6005076838639
"ALO",266,-5,14.406015037594
"AMA",7314,-2,8.77796007656549
"ANC",19303,0,8.84779567942807
"APF",534,3,17.1423220973783
"ASE",4748,-3,11.0768744734625
"ATL",406136,1,12.3310812141746
"ATW",5825,-2,11.2578540772532
"AUS",50617,-2,6.3158820159235
"AVL",3640,-2,15.7774725274725
"AVP",2745,-1,13.9927140255009
"AZO",4743,-3,11.4653173097196
"BDL",31790,-2,7.96888958792073
"BET",1010,1,8.75841584158416
"BFL",5131,-4,3.82654453322939
"BGM",916,-4,10.7041484716157
"BGR",3947,-2,13.7443628071953
"BHM",23020,-2,8.08696785403997
"BIL",4628,-1,6.77722558340536
"BIS",3062,-1,7.80241672109732
"BJI",114,0,13.359649122807
"BLI",581,-7,-2.56798623063683
"BMI",3975,-4,11.44
"BNA",59935,-2,7.34567448068741
"BOI",17974,-2,5.54189384666741
"BOS",123677,0,11.8960437268045
"BPT",351,-6,2.51282051282051
"BQK",963,2,13.7528556593977
"BQN",1348,-4,4.23071216617211
"BRO",1560,-7,4.3025641025641
"BRW",697,4,15.1047345767575
"BTM",796,-4,1.41206030150754
"BTR",10036,-2,12.9279593463531
"BTV",6892,0,16.4603888566454
"BUF",25944,-1,11.6978877582485
"BUR",32214,-1,6.31166573539455
"BWI",107473,-2,7.75028146604263
"BZN",5154,-1,8.43771827706636
"CAE",10224,-1,12.8945618153365
"CAK",9079,-4,8.17402797664941
"CDV",706,-5,6.60764872521246
"CEC",998,7,24.7635270541082
"CHA",4355,-1,11.4684270952928
"CHO",1347,-7,6.3162583518931
"CHS",15076,0,10.3942690368798
"CIC",1327,0,12.4189902034665
"CID",10550,-3,11.0913744075829
"CLD",2654,-1,3.28824415975885
"CLE",76679,-2,9.15473597725583
"CLL",1704,-4,8.34976525821596
"CLT",124650,3,12.5806016847172
"CMH",37519,-1,11.1296143287401
"CMI",2609,-2,14.3495592180912
"CMX",288,-5,12.0659722222222
