"Month","Day","AA","WN","OO","MQ","UA"
1,1,9,2,7,4,0
1,2,6,0,4,-1,0
1,3,1,0,2,-4,-3
1,4,2,0,20,1,2
1,5,2,3,13,-1,9
1,6,-1,-4,4,-5,-1
1,7,-1,-1,6,-2,-1
1,8,-5,-5,-2,-5,-6
1,9,-4,-5,0,-5,-3
1,10,-6,-5,-1,-6,-2
1,11,-3,-4,12,-3,1
1,12,7,-1,11,8,10
1,13,7,-5,1,5,-1
1,14,21,-2,4,18,9
1,15,52,4,8,50,6
1,16,3,-4,2,7,1
1,17,19,-4,-1,2,-5
1,18,11,0,2,17,1
1,19,2,0,14,1,1
1,20,-2,-7,1,-4,-2
1,21,6,7,16,8,49
1,22,-1,-4,2,5,4
1,23,-4,-6,-3,-3,-5
1,24,-4,-5,-4,-3,-5
1,25,-3,-3,-1,-4,-4
1,26,-2,-3,12,-3,0
1,27,-6,-8,14,-7,-3
1,28,0,-4,9,2,0
1,29,0,-6,2,3,-1
1,30,-5,-6,-1,-2,-5
1,31,7,-4,7,3,-3
2,1,10,-2,7,11,2
2,2,9,3,2,10,-1
2,3,2,-5,1,5,1
2,4,-1,-5,-1,2,-3
2,5,0,-1,-2,6,5
2,6,-2,-4,-1,1,6
2,7,-2,-2,4,3,7
2,8,-1,-3,6,0,4
2,9,1,0,6,1,3
2,10,-3,-7,1,-5,-1
2,11,-2,-3,2,-1,-3
2,12,9,-4,7,16,9
2,13,2,0,1,3,11
2,14,7,8,2,10,15
2,15,26,10,9,20,11
2,16,15,8,11,9,12
2,17,10,-3,3,4,5
2,18,-4,-5,-3,-2,-1
2,19,-2,1,6,-2,1
2,20,-4,-4,-1,-4,-3
2,21,-5,-3,1,-3,-1
2,22,2,0,5,4,2
2,23,-1,0,7,-2,0
2,24,6,-6,4,0,7
2,25,30,5,10,15,12
2,26,19,0,10,13,12
2,27,-1,-2,7,-4,1
2,28,-1,-2,6,-3,4
3,1,9,1,6,7,14
3,2,6,3,6,13,11
3,3,2,-5,1,2,0
3,4,-4,-5,-2,-1,-4
3,5,-6,-7,-5,-4,-5
3,6,-7,-7,-6,-3,-3
3,7,0,-4,-1,2,2
3,8,-5,-4,-3,-5,-4
3,9,-3,-4,-3,-3,-2
3,10,-4,-7,-3,-6,-4
3,11,-2,-2,-3,-4,-3
3,12,-4,-4,-4,-4,-6
3,13,-2,-4,-5,-4,-6
3,14,-2,-3,-4,-2,-4
3,15,-1,-1,1,-1,1
3,16,-2,2,-2,-2,-2
3,17,3,9,-2,-2,-1
3,18,-2,-2,-2,-3,-2
3,19,-2,-3,-1,-2,-2
3,20,-3,-4,0,-3,-2
3,21,-2,-2,-1,-1,7
3,22,7,10,0,5,9
3,23,3,3,-2,0,3
3,24,2,-5,0,-3,6
3,25,-2,-4,0,-4,-2
3,26,-1,-2,-1,-1,-2
3,27,-3,-5,1,-3,-1
3,28,2,-3,5,0,10
3,29,4,0,2,-1,13
3,30,14,1,-1,2,0
3,31,10,-4,-1,4,2
4,1,2,-3,1,-2,0
4,2,-5,-5,-2,-3,-4
4,3,2,-4,-2,1,5
4,4,0,-1,-3,3,1
4,5,-1,-2,-1,2,-2
4,6,-1,-4,3,-1,6
4,7,-3,-5,-1,-3,0
4,8,-6,-6,-4,-7,-3
4,9,-6,-2,-3,-4,-4
4,10,2,-4,-2,1,-2
4,11,6,3,1,4,19
4,12,9,6,0,3,6
4,13,15,1,-2,5,2
4,14,10,-4,-3,6,-1
4,15,4,5,-2,2,1
4,16,1,0,-4,-2,1
4,17,7,-4,-2,1,0
4,18,2,-3,1,0,-1
4,19,-2,-3,-3,-3,-1
4,20,-3,-2,-3,-5,-3
4,21,-4,-7,-5,-7,-4
4,22,-3,-3,-1,-4,-3
4,23,-2,-6,-1,-4,-4
4,24,1,-5,-2,-4,2
4,25,14,-3,3,26,8
4,26,3,-1,0,4,4
4,27,4,0,-2,1,-1
4,28,-4,-7,-6,-7,-7
4,29,-3,-4,-2,-5,-5
4,30,-1,-5,-3,-2,-3
5,1,1,-4,-2,0,-2
5,2,1,-4,-1,0,-2
5,3,6,-2,0,3,-3
5,4,0,0,1,1,-1
5,5,-4,-6,-1,-5,3
5,6,4,3,1,1,7
5,7,5,-1,-2,1,-1
5,8,-3,-5,-5,-6,-5
5,9,2,-4,-4,-2,-4
5,10,8,-1,-1,6,-3
5,11,2,-2,-2,1,-3
5,12,-4,-7,-3,-5,-5
5,13,-2,-5,-4,-4,-5
5,14,2,-4,-2,-1,-1
5,15,4,-2,1,2,6
5,16,1,-1,-2,-1,1
5,17,-1,-1,-1,-1,-2
5,18,-1,0,-1,-2,-2
5,19,-5,-5,-3,-6,-4
5,20,-2,-3,1,-3,-1
5,21,-2,-2,0,-3,-2
5,22,0,-2,1,-1,1
5,23,0,0,-1,-1,2
5,24,16,3,3,9,4
5,25,11,6,1,7,-1
5,26,1,-3,-2,2,1
5,27,3,-6,-6,-3,-7
5,28,-3,-4,-5,-5,-5
5,29,0,-3,-2,-2,0
5,30,17,-2,-1,3,-1
5,31,2,-1,0,3,0
6,1,1,1,0,3,1
6,2,-2,-4,-2,1,-2
6,3,61,2,2,28,4
6,4,18,-2,2,23,2
6,5,1,-1,1,2,-1
6,6,0,1,4,-2,3
6,7,0,0,4,0,8
6,8,18,4,0,13,6
6,9,-1,-2,-2,-3,-2
6,10,0,-1,1,-3,-2
6,11,-2,1,1,-3,0
6,12,-1,1,0,-3,6
6,13,3,1,-2,1,4
6,14,9,3,-1,1,-1
6,15,3,2,-1,1,-3
6,16,37,1,1,13,-1
6,17,48,1,-1,8,-2
6,18,15,2,0,14,4
6,19,5,2,2,7,8
6,20,14,1,0,7,56
6,21,3,0,-1,0,5
6,22,6,-1,-2,6,1
6,23,-1,-5,0,1,-3
6,24,-3,-3,2,0,-1
6,25,13,2,1,10,4
6,26,20,3,-1,10,12
6,27,35,4,0,27,13
6,28,29,7,1,23,11
6,29,18,4,0,9,2
6,30,15,-4,0,4,1
7,1,17,-1,-1,1,-4
7,2,28,-3,-2,3,-5
7,3,6,-4,-5,-1,-6
7,4,-1,-7,-8,-5,-9
7,5,6,-1,-4,1,-4
7,6,-2,-1,-3,-1,-6
7,7,-4,-4,1,-2,-4
7,8,10,-1,3,5,-1
7,9,8,2,3,10,3
7,10,9,4,4,14,11
7,11,10,1,0,6,7
7,12,1,1,-1,1,1
7,13,7,-1,-3,4,-5
