"Events","num_dep_delays","num_arr_delays","max_dep_delay","avg_dep_delay","avg_weather_delay","max_arr_delay","avg_arr_delay","avg_sec_delay","avg_aircraft_delay","avg_carrier_delay"
"",337292,337292,1355,31.3228211757172,1.64385771404936,1357,36.198889982567,0.0347166689645664,16.9781699526633,18.7999218714095
"Fog",20549,20549,738,32.3500900287119,2.6343625136215,736,37.5819747919607,0.0855067199418816,20.4052306574646,15.8781692698874
"Fog-Rain",6228,6228,1178,46.2679833012203,4.57398112828749,1170,54.7532113037893,0.0160610319213009,34.6034932744429,12.3535434651676
"Fog-Rain-Hail-Thunderstorm-Tornado",828,828,410,68.6751207729469,17.0682414698163,404,85.0893719806763,0,32.755905511811,21.0196850393701
"Fog-Rain-Snow",4544,4544,846,55.4709507042254,10.3938631790744,862,71.6346830985916,0.00377263581488934,34.0017605633803,14.3722334004024
"Fog-Rain-Snow-Thunderstorm",1043,1043,336,54.6788111217641,11.1137855579869,398,71.8465963566635,0.0273522975929978,31.7932166301969,14.2133479212254
"Fog-Rain-Thunderstorm",7905,7905,471,65.0532574320051,14.0671960005881,459,74.9197975964579,0,38.7312159976474,14.2937803264226
"Fog-Snow",7863,7863,516,47.2764848022383,6.16793660469369,495,59.3190894060791,0.017677537336178,30.7770496799756,14.4935995123438
"Fog-Thunderstorm",715,715,552,42.0699300699301,2.33955857385399,544,54.4475524475524,0.0933786078098472,27.8336162988115,13.7436332767402
"Rain",64967,64967,1099,34.2568688718888,2.17520346779901,1081,39.4521834161959,0.0244824840764331,19.2820240622788,17.504644373673
"Rain-Hail-Thunderstorm",310,310,350,50.5032258064516,20.5041666666667,347,65.858064516129,0,26.1291666666667,14.8125
"Rain-Snow",6400,6400,889,46.6834375,8.69106012658228,876,58.8528125,0.017998417721519,27.1507120253165,16.2810522151899
"Rain-Snow-Thunderstorm",1160,1160,497,55.5948275862069,7.8862660944206,485,63.7181034482759,0,39.8540772532189,16.2360515021459
"Rain-Thunderstorm",56562,56562,1259,45.9191683462395,8.48230078331381,1263,54.9858031894205,0.0121976431672524,26.426090551995,15.693565800657
"Snow",26846,26846,493,40.4063175147135,3.03003972194638,493,45.8715264843925,0.0142999006951341,26.7205561072493,16.1760675273088
"Thunderstorm",6043,6043,536,30.6665563461857,1.5517848164907,546,34.8798609961939,0.0228758169934641,16.8355957767722,18.930869783811
